022,009,0,,22F,2793,12,,,,4.23,s,0.04,(4+),15,,1965,B-=100;B-n<11
022,010,0,,22Ne,-8024.719,0.018,,,,stbl,,,0+,15,,1913,IS=9.25 3
022,010,8,W,22Nei,5855,10,13880,10,,,,,4+      T=2,15,87Wi03e,,
022,011,0,,22Na,-5181.51,0.17,,,,2.601,8 y,0.0022,3+,15,,1935,B+=100
022,011,1,W,22Nam,-4598.46,0.2,583.05,0.1,,243,ns,2,1+,15,,,IT=100
022,011,8,W,22Nai,-4524.51,0.22,657,0.14,,19.6,ps,0.7,0+      T=1,15,,,IT=100
022,012,0,,22Mg,-399.9,0.3,,,,3.875,5 s,0.0012,0+,15,,1961,B+=100
022,012,8,,22Mgi,13645,6,14044,6,p,,,,(4)+    T=2,15,MMC12 j,,A=?;p=?
022,013,0,,22Al,18200#,400#,,,,91.1,ms,0.5,(4)+,15,,1982,B+=100;B+p=55 3;B+2p=1.10 11;B+A=0.038 17
022,014,0,,22Si,33340#,500#,,,,29,ms,2,0+,15,,1987,B+=100;B+p=32 4
023,006,0,,23C,64170#,1000#,,,,,,,3/2+#,,,,n ?
023,007,0,,23N,36720,420,,,,13.9,ms,1.4,1/2-#,7,03Yo02td,1985,B-=100;B-n=42 6;B-2n=8 4;B-3n<3.4
023,008,0,,23O,14620,120,,,,97,ms,8,1/2+,7,07Su05td,1970,B-=100;B-n=7 2
023,009,0,,23F,3290,30,,,,2.23,s,0.14,5/2+,7,95Re.Ad,1970,B-=100;B-n<14
023,010,0,,23Ne,-5154.05,0.1,,,,37.14,s,0.028,5/2+,7,15La19t,1936,B-=100
023,011,0,,23Na,-9529.8525,0.0018,,,,stbl,,,3/2+,7,,1921,IS=100.
023,011,8,W,23Nai,-1638.66,0.15,7891.19,0.15,,,,,5/2+    T=3/2,7,,,IT=100
023,011,9,,23Naj,10060.6,2,19590.4,2,,240,zs,120,T=5/2,,85Ev01t,,
023,012,0,,23Mg,-5473.51,0.16,,,,11.317,s,0.011,3/2+,7,,1939,B+=100
023,012,8,W,23Mgi,2328.7,1.4,7802.2,1.4,,,,,5/2+    T=3/2,7,00Pe28d,1981,IT~100;p=0.17 8
023,013,0,,23Al,6748.1,0.3,,,,470,ms,30,5/2+,7,,1969,B+=100;B+p=0.46 23
023,013,8,,23Ali,18530,60,11780,60,p,,,,(5/2)+  T=5/2,7,,1997,p=0.10 5;2p=3.6 4
023,014,0,,23Si,23700#,500#,,,,42.3,ms,0.4,3/2+#,7,97Bl04td,1986,B+=100;B+p~88;B+2p=3.6 3
024,007,0,,24N,46940#,400#,,,,,,<52ns,,7,93Po.Ai,,n ?
024,008,0,,24O,18500,160,,,,77.4,ms,4.5,0+,7,15Ca09td,1970,B-=100;B-n=43 4
024,009,0,,24F,7540,100,,,,384,ms,16,3+,7,07Su05t,1970,B-=100;B-n<5.9
024,010,0,,24Ne,-5951.6,0.5,,,,3.38,m,0.02,0+,7,,1956,"B-=100[gs=0,m=100]"
024,011,0,,24Na,-8417.901,0.017,,,,14.957,h,0.004,4+,7,14Un01t,1934,B-=100
024,011,1,W,24Nam,-7945.694,0.017,472.207,4  0.0008,,20.18,ms,0.1,1+,7,,1961,IT~100;B-=0.05
024,011,8,W,24Nai,-2450.53,0.13,5967.37,0.13,,,,,0+      T=2,7,,,
024,012,0,,24Mg,-13933.569,0.013,,,,stbl,,,0+,7,,1920,IS=78.99 4
024,012,8,W,24Mgi,-4417.29,0.04,9516.28,0.04,,,,,(4+)    T=1,7,,,
024,012,9,W,24Mgj,1502.8,0.6,15436.4,0.6,,,,,0+      T=2,7,,,
024,013,0,,24Al,-48.86,0.23,,,,2.053,s,0.004,4+,7,,1953,B+=100;B+A=0.035 6;B+p=0.0016 3
024,013,1,W,24Alm,376.94,0.25,425.8,0.1,,130,ms,3,1+,7,,1968,IT=82.5 30;B+=17.5 30;B+A=0.028 6
024,013,8,,24Ali,5900,3,5949,3,p,,,,0+      T=2,7,,,
024,014,0,,24Si,10745,19,,,,140,ms,8,0+,7,98Cz01d,1979,B+=100;B+p=37.6 25
024,015,0,,24P,33320#,500#,,,,,,,1+#,,,,p ?;B+ ?;B+p ?
025,007,0,,25N,55980#,500#,,,,,,<260ns,1/2-#,9,99Sa06id,,n ?;2n ?;B- ?
025,008,0,,25O,27330,170,,,,5.18,zs,0.35,3/2+#,9,16Ko11t,2008,n=100
025,009,0,,25F,11330,100,,,,80,ms,9,(5/2+),9,,1970,B-=100;B-n=23.1 45;B-2n=0#
025,010,0,,25Ne,-2036,29,,,,602,ms,8,1/2+,9,,1970,B-=100
025,011,0,,25Na,-9357.8,1.2,,,,59.1,s,0.6,5/2+,9,,1943,B-=100
025,012,0,,25Mg,-13192.78,0.05,,,,stbl,,,5/2+,9,,1920,IS=10.00 1
025,012,8,W,25Mgi,-5405.8,0.3,7787,0.3,,,,,5/2+    T=3/2,9,,,
025,013,0,,25Al,-8915.97,0.06,,,,7.183,s,0.012,5/2+,9,,1953,B+=100
025,013,8,,25Ali,-1014.9,1.8,7901.1,1.8,RQ,,,,5/2+    T=3/2,9,,,
025,014,0,,25Si,3827,10,,,,220,ms,3,5/2+,9,,1963,B+=100;B+p=35 2
025,015,0,,25P,19740#,400#,,,,,,<30ns,1/2+#,9,93Po.Ai,,p ?
026,008,0,,26O,34660,160,,,,4.2,ps,3.3,0+,16,13Ko10t,2012,2n=100
026,009,0,,26F,18650,110,,,,8.2,ms,0.9,1+,16,,1979,B-=100;B-n=13.5 40;B-2n=0.4#
